IČO;Název;Okres
00273848;Obec Labské Chrčice;Pardubice
00636801;Obec Labuty;Hodonín
00303968;Obec Lačnov;Vsetín
75082128;Obec Ladná;Břeclav
00266426;Obec Lahošť;Teplice
00580741;Obec Lampertice;Trutnov
00600474;Obec Lančov;Znojmo
00278041;Obec Lánov;Trutnov
00579939;Obec Lány;Havlíčkův Brod
00243981;Obec Lány;Kladno
00484768;Obec Lány;Chrudim
00580520;Obec Lány u Dašic;Pardubice
00580198;Obec Lanžov;Trutnov
00246972;Obec Lásenice;Jindřichův Hradec
00288411;Obec Laškov;Prostějov
00243990;Obec Lašovice;Rakovník
00842478;Obec Lavičky;Žďár nad Sázavou
00276901;Obec Lavičné;Svitavy
00378011;Obec Láz;Třebíč
00242608;Obec Láz;Příbram
43420613;Obec Lazinov;Blansko
00671983;Obec Lázně Libverda;Liberec
00636321;Obec Lazníčky;Přerov
00301451;Obec Lazníky;Přerov
00662879;Obec Lazsko;Příbram
00667633;Obec Lažánky;Strakonice
00281972;Obec Lažánky;Brno - venkov
00671975;Obec Lažany;Liberec
00637742;Obec Lažany;Blansko
46687700;Obec Lažany;Strakonice
00250520;Obec Lažiště;Prachatice
00509710;Obec Lážovice;Beroun
00583324;Obec Lčovice;Prachatice
00488194;Obec Ledce;Brno - venkov
00238180;Obec Ledce;Mladá Boleslav
00258032;Obec Ledce;Plzeň - sever
00234591;Obec Ledce;Kladno
00275034;Obec Ledce;Hradec Králové
00236993;Obec Ledčice;Mělník
00236209;Obec Ledečko;Kutná Hora
00283339;Obec Lednice;Břeclav
00287407;Obec Lechotice;Kroměříž
00637424;Obec Lechovice;Znojmo
00653314;Obec Lejšovka;Hradec Králové
00281999;Obec Lelekovice;Brno - venkov
00265098;Obec Lenešice;Louny
00250538;Obec Lenora;Prachatice
00303984;Obec Leskovec;Vsetín
00296155;Obec Leskovec nad Moravicí;Bruntál
00248509;Obec Leskovice;Pelhřimov
00378020;Obec Lesná;Třebíč
00511242;Obec Lesná;Pelhřimov
00600482;Obec Lesná;Znojmo
00259969;Obec Lesná;Tachov
00302872;Obec Lesnice;Šumperk
00637190;Obec Lesní Hluboké;Brno - venkov
00378038;Obec Lesní Jakubov;Třebíč
00600491;Obec Lesonice;Znojmo
00289752;Obec Lesonice;Třebíč
00259977;Obec Lestkov;Tachov
00378046;Obec Lesůňky;Třebíč
00232122;Obec Lešany;Benešov
00288420;Obec Lešany;Prostějov
00473855;Obec Lešetice;Příbram
00579947;Obec Leškovice;Havlíčkův Brod
00303992;Obec Lešná;Vsetín
00270369;Obec Leština;Ústí nad Orlicí
00302881;Obec Leština;Šumperk
00267783;Obec Leština u Světlé;Havlíčkův Brod
00270377;Obec Leštinka;Chrudim
00256820;Obec Letiny;Plzeň - jih
00574155;Obec Letkov;Plzeň - město
00291986;Obec Letonice;Vyškov
00241393;Obec Lety;Praha - západ
00249823;Obec Lety;Písek
00854662;Obec Levínská Olešnice;Semily
00378054;Obec Lhánice;Třebíč
00568635;Obec Lhota;Zlín
00663964;Obec Lhota;Kladno
00237001;Obec Lhota;Praha - východ
00636347;Obec Lhota;Přerov
00653993;Obec Lhota pod Hořičkami;Náchod
00268992;Obec Lhota pod Libčany;Hradec Králové
00573817;Obec Lhota pod Radčem;Rokycany
00841803;Obec Lhota Rapotina;Blansko
00600628;Obec Lhota u Lysic;Blansko
00636738;Obec Lhota u Olešnice;Blansko
00662887;Obec Lhota u Příbramě;Příbram
68898797;Obec Lhota u Vsetína;Vsetín
00584088;Obec Lhota-Vlasenice;Pelhřimov
48527424;Obec Lhotice;Třebíč
00373800;Obec Lhotka;Jihlava
00509728;Obec Lhotka;Beroun
00296864;Obec Lhotka;Frýdek - Místek
00662275;Obec Lhotka;Mělník
00842273;Obec Lhotka;Žďár nad Sázavou
00636339;Obec Lhotka;Přerov
00526126;Obec Lhotka nad Labem;Litoměřice
00635375;Obec Lhotka u Litultovic;Opava
00573931;Obec Lhotka u Radnic;Rokycany
00508977;Obec Lhotky;Mladá Boleslav
00568619;Obec Lhotsko;Zlín
00275042;Obec Lhoty u Potštejna;Rychnov nad Kněžnou
45331006;Obec Lhůta;Plzeň - město
00254037;Obec Libá;Cheb
00259462;Obec Libavské Údolí;Sokolov
00269000;Obec Libčany;Hradec Králové
00265110;Obec Libčeves;Louny
00279153;Obec Libecina;Ústí nad Orlicí
00673153;Obec Libědice;Chomutov
00666998;Obec Libějice;Tábor
00667641;Obec Libějovice;Strakonice
00579254;Obec Libel;Rychnov nad Kněžnou
00235539;Obec Libenice;Kolín
00275051;Obec Liberk;Rychnov nad Kněžnou
00241415;Obec Libeř;Praha - západ
00483095;Obec Liběšice;Louny
00263893;Obec Liběšice;Litoměřice
00667650;Obec Libětice;Strakonice
00240427;Obec Líbeznice;Praha - východ
00232131;Obec Libež;Benešov
72086718;Obec Libhošť;Nový Jičín
00038113;Obec Libchavy;Ústí nad Orlicí
00654094;Obec Libchyně;Náchod
00239381;Obec Libice nad Cidlinou;Nymburk
00245143;Obec Libín;České Budějovice
00302899;Obec Libina;Šumperk
00662241;Obec Libiš;Mělník
00273899;Obec Libišany;Pardubice
00572616;Obec Libkov;Domažlice
00270393;Obec Libkov;Chrudim
00515957;Obec Libkova Voda;Pelhřimov
00263915;Obec Libkovice pod Řípem;Litoměřice
00510548;Obec Liblice;Mělník
00278084;Obec Libňatov;Trutnov
00581445;Obec Libníč;České Budějovice
45978131;Obec Libníkovice;Hradec Králové
47786663;Obec Libočany;Louny
00235547;Obec Libodřice;Kolín
00263923;Obec Libochovany;Litoměřice
00640522;Obec Libochovičky;Kladno
00270407;Obec Liboměřice;Chrudim
00233498;Obec Libomyšl;Beroun
00556335;Obec Libořice;Louny
00635758;Obec Liboš;Olomouc
00271756;Obec Libošovice;Jičín
00263940;Obec Libotenice;Litoměřice
00578193;Obec Libotov;Trutnov
00266833;Obec Libouchec;Ústí nad Labem
00640549;Obec Libovice;Kladno
45978140;Obec Librantice;Hradec Králové
00653322;Obec Libřice;Hradec Králové
00271764;Obec Libuň;Jičín
00497011;Obec Licibořice;Chrudim
00275069;Obec Lično;Rychnov nad Kněžnou
00304042;Obec Lidečko;Vsetín
00234648;Obec Lidice;Kladno
00583481;Obec Lidmaň;Pelhřimov
00279161;Obec Lichkov;Ústí nad Orlicí
00298115;Obec Lichnov;Nový Jičín
00296163;Obec Lichnov;Bruntál
00640735;Obec Lichoceves;Praha - západ
00258059;Obec Líně;Plzeň - sever
00276936;Obec Linhartice;Svitavy
00568627;Obec Lípa;Zlín
00267805;Obec Lípa;Havlíčkův Brod
00275077;Obec Lípa nad Orlicí;Rychnov nad Kněžnou
00473715;Obec Lipec;Kolín
00245160;Obec Lipí;České Budějovice
00635278;Obec Lipina;Olomouc
00302911;Obec Lipinka;Olomouc
00508993;Obec Lipník;Mladá Boleslav
00289795;Obec Lipník;Třebíč
00483109;Obec Lipno;Louny
00245976;Obec Lipno nad Vltavou;Český Krumlov
00273902;Obec Lipoltice;Pardubice
00285056;Obec Lipov;Hodonín
00261505;Obec Lipová;Děčín
00636363;Obec Lipová;Přerov
46276084;Obec Lipová;Zlín
00254045;Obec Lipová;Cheb
00288438;Obec Lipová;Prostějov
00302929;Obec Lipová-lázně;Jeseník
00654647;Obec Lipovec;Chrudim
00280551;Obec Lipovec;Blansko
00583065;Obec Lipovice;Prachatice
00304051;Obec Liptál;Vsetín
00296180;Obec Liptaň;Bruntál
00280569;Obec Lipůvka;Blansko
00294730;Obec Lísek;Žďár nad Sázavou
00578436;Obec Lískovice;Jičín
00640514;Obec Líský;Kladno
00574104;Obec Lisov;Plzeň - jih
00556343;Obec Lišany;Louny
00244007;Obec Lišany;Rakovník
00269042;Obec Lišice;Hradec Králové
00574066;Obec Líšina;Plzeň - jih
00599557;Obec Líšná;Žďár nad Sázavou
00636355;Obec Líšná;Přerov
00479110;Obec Líšná;Rokycany
00266019;Obec Lišnice;Most
00279170;Obec Líšnice;Ústí nad Orlicí
00636002;Obec Líšnice;Šumperk
00241440;Obec Líšnice;Praha - západ
00673226;Obec Líšný;Jablonec nad Nisou
00258067;Obec Líšťany;Plzeň - sever
00831824;Obec Líšťany;Louny
00572896;Obec Líté;Plzeň - sever
00581046;Obec Litíč;Trutnov
00473367;Obec Litichovice;Benešov
00654027;Obec Litoboř;Náchod
00600504;Obec Litobratřice;Znojmo
48379701;Obec Litohlavy;Rokycany
00378062;Obec Litohoř;Třebíč
00583499;Obec Litohošť;Pelhřimov
00667668;Obec Litochovice;Strakonice
00637556;Obec Litostrov;Brno - venkov
00580562;Obec Litošice;Pardubice
00378119;Obec Litovany;Třebíč
00245194;Obec Litvínovice;České Budějovice
00832162;Obec Lkáň;Litoměřice
00251437;Obec Lnáře;Strakonice
00662194;Obec Lobeč;Mělník
00555983;Obec Lobendava;Děčín
00301523;Obec Lobodice;Přerov
00245208;Obec Ločenice;České Budějovice
00233510;Obec Loděnice;Beroun
00293083;Obec Loděnice;Brno - venkov
00247014;Obec Lodhéřov;Jindřichův Hradec
00269051;Obec Lodín;Hradec Králové
00269069;Obec Lochenice;Hradec Králové
00572918;Obec Lochousice;Plzeň - sever
00233528;Obec Lochovice;Beroun
00232165;Obec Loket;Benešov
00667676;Obec Lom;Strakonice
00667005;Obec Lom;Tábor
43313850;Obec Lomec;Klatovy
00296198;Obec Lomnice;Bruntál
00259497;Obec Lomnice;Sokolov
00363197;Obec Lomnička;Brno - venkov
00573752;Obec Lom u Tachova;Tachov
44065493;Obec Lomy;Třebíč
00542245;Obec Lopeník;Uherské Hradiště
00256871;Obec Losiná;Plzeň - město
00235555;Obec Lošany;Kolín
00640425;Obec Loucká;Kladno
00635651;Obec Loučany;Olomouc
00572624;Obec Loučim;Domažlice
00304069;Obec Loučka;Vsetín
00576247;Obec Loučka;Olomouc
00568643;Obec Loučka;Zlín
00580830;Obec Loučky;Semily
00302953;Obec Loučná nad Desnou;Šumperk
00245984;Obec Loučovice;Český Krumlov
49463985;Obec Louka;Blansko
00285064;Obec Louka;Hodonín
00266043;Obec Louka u Litvínova;Most
00509281;Obec Loukov;Mladá Boleslav
00287440;Obec Loukov;Kroměříž
00238244;Obec Loukovec;Mladá Boleslav
00378127;Obec Loukovice;Třebíč
00256889;Obec Louňová;Plzeň - jih
00240435;Obec Louňovice;Praha - východ
00672076;Obec Loužnice;Jablonec nad Nisou
00269077;Obec Lovčice;Hradec Králové
00285072;Obec Lovčice;Hodonín
00291994;Obec Lovčičky;Vyškov
48527432;Obec Lovčovice;Třebíč
00263982;Obec Lovečkovice;Litoměřice
00572900;Obec Loza;Plzeň - sever
00270423;Obec Lozice;Chrudim
00508527;Obec Lštění;Benešov
00637301;Obec Lubě;Blansko
00265217;Obec Lubenec;Louny
00635642;Obec Luběnice;Olomouc
00287458;Obec Lubná;Kroměříž
00244023;Obec Lubná;Rakovník
00276952;Obec Lubná;Svitavy
00599565;Obec Lubné;Brno - venkov
00636835;Obec Lubnice;Znojmo
00279196;Obec Lubník;Ústí nad Orlicí
00298158;Obec Luboměř;Nový Jičín
04498712;Obec Luboměř pod Strážnou;Přerov
00267830;Obec Lučice;Havlíčkův Brod
00296899;Obec Lučina;Frýdek - Místek
00300390;Obec Ludgeřovice;Opava
47884550;Obec Ludíkov;Blansko
00284157;Obec Ludkovice;Zlín
00288446;Obec Ludmírov;Prostějov
00287466;Obec Ludslavice;Kroměříž
00576131;Obec Ludvíkov;Bruntál
00831964;Obec Ludvíkovice;Děčín
00673480;Obec Luka;Česká Lípa
00299171;Obec Luká;Olomouc
00526134;Obec Lukavec;Litoměřice
00271781;Obec Lukavec u Hořic;Jičín
00302961;Obec Lukavice;Šumperk
00270431;Obec Lukavice;Chrudim
00579301;Obec Lukavice;Rychnov nad Kněžnou
00279200;Obec Lukavice;Ústí nad Orlicí
00284173;Obec Lukov;Zlín
00378135;Obec Lukov;Třebíč
00832081;Obec Lukov;Teplice
00279218;Obec Luková;Ústí nad Orlicí
00282031;Obec Lukovany;Brno - venkov
70871264;Obec Lukoveček;Zlín
00373184;Obec Luleč;Vyškov
00579114;Obec Lupenice;Rychnov nad Kněžnou
00238252;Obec Luštěnice;Mladá Boleslav
00299189;Obec Lutín;Olomouc
00568601;Obec Lutonina;Zlín
00287474;Obec Lutopecny;Kroměříž
00271799;Obec Lužany;Jičín
00256897;Obec Lužany;Plzeň - jih
00653349;Obec Lužany;Hradec Králové
00509736;Obec Lužce;Beroun
00653403;Obec Lužec nad Cidlinou;Hradec Králové
00237035;Obec Lužec nad Vltavou;Mělník
00253537;Obec Luženičky;Domažlice
00583073;Obec Lužice;Prachatice
00266051;Obec Lužice;Most
44164343;Obec Lužice;Hodonín
00849529;Obec Lužice;Olomouc
00304077;Obec Lužná;Vsetín
00244031;Obec Lužná;Rakovník
00477311;Obec Lužnice;Jindřichův Hradec
00368768;Obec Lysovice;Vyškov
00636851;Obec Mackovice;Znojmo
00667684;Obec Mačkov;Strakonice
00583081;Obec Mahouš;Prachatice
00568651;Obec Machová;Zlín
00247065;Obec Majdalena;Jindřichův Hradec
00299197;Obec Majetín;Olomouc
00234681;Obec Makotřasy;Kladno
00276961;Obec Makov;Svitavy
00637238;Obec Makov;Blansko
00304085;Obec Malá Bystřice;Vsetín
00242691;Obec Malá Hraštice;Příbram
00637297;Obec Malá Lhota;Blansko
00545171;Obec Malá Losenice;Žďár nad Sázavou
00302970;Obec Malá Morava;Šumperk
00296201;Obec Malá Morávka;Bruntál
00841889;Obec Malá Roudka;Blansko
00262463;Obec Malá Skála;Jablonec nad Nisou
00575968;Obec Malá Štáhle;Bruntál
00656119;Obec Malá Úpa;Trutnov
00525049;Obec Malá Veleň;Děčín
00509744;Obec Malá Víska;Beroun
00544710;Obec Malá Vrbka;Hodonín
00267848;Obec Malčín;Havlíčkův Brod
00266060;Obec Malé Březno;Most
00556891;Obec Malé Březno;Ústí nad Labem
00267856;Obec Maleč;Havlíčkův Brod
00266884;Obec Malečov;Ústí nad Labem
00288454;Obec Malé Hradisko;Prostějov
00640557;Obec Malé Kyšice;Kladno
00251461;Obec Malenice;Strakonice
00576964;Obec Malenovice;Frýdek - Místek
00663999;Obec Malé Přítočno;Kladno
00278114;Obec Malé Svatoňovice;Trutnov
00488038;Obec Malešovice;Brno - venkov
00302988;Obec Maletín;Šumperk
00580511;Obec Malé Výkleky;Pardubice
00526045;Obec Malé Žernoseky;Litoměřice
00282057;Obec Malhostovice;Brno - venkov
00636371;Obec Malhotice;Přerov
00526444;Obec Malíč;Litoměřice
00194557;Obec Malíkov;Svitavy
00234711;Obec Malíkovice;Kladno
00373451;Obec Malínky;Vyškov
00639915;Obec Malinová;Rakovník
00262013;Obec Málkov;Chomutov
00509752;Obec Málkov;Beroun
00245992;Obec Malonty;Český Krumlov
00235563;Obec Malotice;Kolín
00250571;Obec Malovice;Prachatice
00475475;Obec Malšín;Český Krumlov
00261548;Obec Malšovice;Děčín
00543713;Obec Malý Beranov;Jihlava
00255777;Obec Malý Bor;Klatovy
00237043;Obec Malý Újezd;Mělník
00600776;Obec Mankovice;Nový Jičín
43313892;Obec Maňovice;Klatovy
00266078;Obec Mariánské Radčice;Most
00488631;Obec Markvartice;Jihlava
00555916;Obec Markvartice;Děčín
00378143;Obec Markvartice;Třebíč
00271802;Obec Markvartice;Jičín
00300411;Obec Markvartovice;Opava
00363278;Obec Maršov;Brno - venkov
00262471;Obec Maršovice;Jablonec nad Nisou
00278131;Obec Maršov u Úpice;Trutnov
00264024;Obec Martiněves;Litoměřice
00842494;Obec Martinice;Žďár nad Sázavou
00287482;Obec Martinice;Kroměříž
00583502;Obec Martinice u Onšova;Pelhřimov
00580805;Obec Martinice v Krkonoších;Semily
00378151;Obec Martínkov;Třebíč
00272817;Obec Martínkovice;Náchod
00260738;Obec Mařenice;Česká Lípa
44444419;Obec Máslojedy;Hradec Králové
00240443;Obec Máslovice;Praha - východ
00665151;Obec Masojedy;Kolín
00378160;Obec Mastník;Třebíč
00293121;Obec Mašovice;Znojmo
00600512;Obec Matějov;Žďár nad Sázavou
00581453;Obec Mazelov;České Budějovice
00667013;Obec Mažice;Tábor
00239411;Obec Mcely;Nymburk
00253553;Obec Meclov;Domažlice
00509043;Obec Mečeříž;Mladá Boleslav
00251470;Obec Mečichov;Strakonice
00262030;Obec Měděnec;Chomutov
00636860;Obec Medlice;Znojmo
00575666;Obec Medlov;Olomouc
00362174;Obec Medlovice;Uherské Hradiště
00542415;Obec Medlovice;Vyškov
00498513;Obec Medonosy;Mělník
18243622;Obec Medový Újezd;Rokycany
00241482;Obec Měchenice;Praha - západ
00574228;Obec Měcholupy;Plzeň - jih
00667692;Obec Měkynec;Strakonice
00300420;Obec Melč;Opava
00282081;Obec Mělčany;Brno - venkov
00237060;Obec Mělnické Vtelno;Mělník
00233579;Obec Měňany;Beroun
48527441;Obec Menhartice;Třebíč
00269131;Obec Měník;Hradec Králové
00282090;Obec Měnín;Brno - venkov
00555959;Obec Merboltice;Děčín
00254789;Obec Merklín;Karlovy Vary
00256901;Obec Merklín;Plzeň - jih
00635341;Obec Měrotín;Olomouc
00636380;Obec Měrovice nad Hanou;Přerov
00266477;Obec Měrunice;Teplice
00244058;Obec Městečko;Rakovník
00276987;Obec Městečko Trnávka;Svitavy
04498704;Obec Město Libavá;Olomouc
00240451;Obec Měšice;Praha - východ
00543721;Obec Měšín;Jihlava
18243673;Obec Mešno;Rokycany
00535991;Obec Metylovice;Frýdek - Místek
00253561;Obec Mezholezy;Domažlice
00573311;Obec Mezholezy;Domažlice
43313833;Obec Mezihoří;Klatovy
00654019;Obec Mezilečí;Náchod
00272833;Obec Mezilesí;Náchod
00248631;Obec Mezilesí;Pelhřimov
00576026;Obec Mezina;Bruntál
00667021;Obec Meziříčí;Tábor
00378178;Obec Meziříčko;Třebíč
00373818;Obec Meziříčko;Žďár nad Sázavou
00667030;Obec Mezná;Tábor
47248955;Obec Mezná;Pelhřimov
00232220;Obec Mezno;Benešov
00233587;Obec Mezouň;Beroun
00583090;Obec Mičovice;Prachatice
00270491;Obec Míčov-Sušice;Chrudim
00579955;Obec Michalovice;Havlíčkův Brod
00526410;Obec Michalovice;Litoměřice
00840521;Obec Míchov;Blansko
00635405;Obec Mikolajice;Opava
00285102;Obec Mikulčice;Hodonín
00276995;Obec Mikuleč;Svitavy
00266485;Obec Mikulov;Teplice
00378186;Obec Mikulovice;Třebíč
00303003;Obec Mikulovice;Jeseník
00273961;Obec Mikulovice;Pardubice
00304107;Obec Mikulůvka;Vsetín
00599573;Obec Milasín;Žďár nad Sázavou
00253570;Obec Milavče;Domažlice
00239445;Obec Milčice;Nymburk
00256927;Obec Mileč;Plzeň - jih
00667706;Obec Milejovice;Strakonice
00301582;Obec Milenov;Přerov
00842249;Obec Milešín;Žďár nad Sázavou
00242721;Obec Milešov;Příbram
00292052;Obec Milešovice;Vyškov
00254070;Obec Milhostov;Cheb
00373826;Obec Milíčov;Jihlava
00636878;Obec Milíčovice;Znojmo
00492621;Obec Milíkov;Frýdek - Místek
00572713;Obec Milíkov;Cheb
00242730;Obec Milín;Příbram
48333468;Obec Milínov;Plzeň - jih
00573639;Obec Milíře;Tachov
00368652;Obec Milonice;Vyškov
00637670;Obec Milonice;Blansko
00251488;Obec Miloňovice;Strakonice
00244066;Obec Milostín;Rakovník
00285111;Obec Milotice;Hodonín
00636398;Obec Milotice nad Bečvou;Přerov
00846511;Obec Milotice nad Opavou;Bruntál
00283355;Obec Milovice;Břeclav
00578444;Obec Milovice u Hořic;Jičín
00639923;Obec Milý;Rakovník
00511749;Obec Minice;Písek
00246000;Obec Mirkovice;Český Krumlov
00637432;Obec Miroslavské Knínice;Znojmo
00599590;Obec Mirošov;Žďár nad Sázavou
00373834;Obec Mirošov;Jihlava
00240460;Obec Mirošovice;Praha - východ
00635995;Obec Mírov;Šumperk
00573264;Obec Mírová;Karlovy Vary
00275913;Obec Mírová pod Kozákovem;Semily
46769463;Obec Miřejovice;Litoměřice
00232246;Obec Miřetice;Benešov
00270504;Obec Miřetice;Chrudim
00572659;Obec Mířkov;Domažlice
00236233;Obec Miskovice;Kutná Hora
00262048;Obec Místo;Chomutov
00279226;Obec Mistrovice;Ústí nad Orlicí
00291129;Obec Mistřice;Uherské Hradiště
00287491;Obec Míškovice;Kroměříž
00256943;Obec Míšov;Plzeň - jih
00511722;Obec Mišovice;Písek
00248657;Obec Mladé Bříště;Pelhřimov
00635502;Obec Mladecko;Opava
00299219;Obec Mladeč;Olomouc
00271845;Obec Mladějov;Jičín
00635308;Obec Mladějovice;Olomouc
00277002;Obec Mladějov na Moravě;Svitavy
00270521;Obec Mladoňovice;Chrudim
00378194;Obec Mladoňovice;Třebíč
00245216;Obec Mladošovice;České Budějovice
00258121;Obec Mladotice;Plzeň - sever
00256935;Obec Mladý Smolivec;Plzeň - jih
00258903;Obec Mlečice;Rokycany
00526151;Obec Mlékojedy;Litoměřice
00269140;Obec Mlékosrby;Hradec Králové
00573434;Obec Mlýnské Struhadlo;Klatovy
00252565;Obec Mlýny;Tábor
00264075;Obec Mnetěš;Litoměřice
00248665;Obec Mnich;Pelhřimov
00254096;Obec Mnichov;Cheb
00667714;Obec Mnichov;Strakonice
00572225;Obec Mnichov;Domažlice
00232262;Obec Mnichovice;Benešov
00263001;Obec Mníšek;Liberec
00572578;Obec Močerady;Domažlice
00640077;Obec Močovice;Kutná Hora
00266493;Obec Modlany;Teplice
00640158;Obec Modletice;Praha - východ
00579963;Obec Modlíkov;Havlíčkův Brod
00362344;Obec Modrá;Uherské Hradiště
00581763;Obec Modrá Hůrka;České Budějovice
00573418;Obec Modrava;Klatovy
00275921;Obec Modřišice;Semily
00875872;Obec Modřovice;Příbram
00256951;Obec Mohelnice;Plzeň - jih
00509141;Obec Mohelnice nad Jizerou;Mladá Boleslav
00240486;Obec Mochov;Praha - východ
00255823;Obec Mochtín;Klatovy
00665665;Obec Mojné;Český Krumlov
00273970;Obec Mokošín;Pardubice
00282111;Obec Mokrá - Horákov;Brno - venkov
00579131;Obec Mokré;Rychnov nad Kněžnou
00300462;Obec Mokré Lazce;Opava
00573329;Obec Mokrosuky;Klatovy
00574309;Obec Mokrouše;Plzeň - město
00269158;Obec Mokrovousy;Hradec Králové
00242764;Obec Mokrovraty;Příbram
00581771;Obec Mokrý Lom;České Budějovice
00266507;Obec Moldava v Krušných horách;Teplice
00270547;Obec Morašice;Chrudim
00277029;Obec Morašice;Svitavy
00580678;Obec Morašice;Pardubice
00637441;Obec Morašice;Znojmo
00285129;Obec Moravany;Hodonín
00273988;Obec Moravany;Pardubice
00282120;Obec Moravany;Brno - venkov
00294829;Obec Moravec;Žďár nad Sázavou
00599603;Obec Moravecké Pavlovice;Žďár nad Sázavou
00248673;Obec Moraveč;Pelhřimov
00635391;Obec Moravice;Opava
00303046;Obec Moravičany;Šumperk
00296945;Obec Morávka;Frýdek - Místek
00488208;Obec Moravské Bránice;Brno - venkov
00488216;Obec Moravské Knínice;Brno - venkov
00292079;Obec Moravské Málkovice;Vyškov
00576042;Obec Moravskoslezský Kočov;Bruntál
00285137;Obec Moravský Písek;Hodonín
00283371;Obec Moravský Žižkov;Břeclav
00283380;Obec Morkůvky;Břeclav
00288462;Obec Mořice;Prostějov
00233595;Obec Mořina;Beroun
00509761;Obec Mořinka;Beroun
00298191;Obec Mořkov;Nový Jičín
00278157;Obec Mostek;Trutnov
00279242;Obec Mostek;Ústí nad Orlicí
00600032;Obec Mostkovice;Prostějov
00296953;Obec Mosty u Jablunkova;Frýdek - Místek
00600792;Obec Mošnov;Nový Jičín
00373460;Obec Mouchnice;Hodonín
70810877;Obec Mouřínov;Vyškov
00282154;Obec Moutnice;Brno - venkov
00232271;Obec Mrač;Benešov
60104171;Obec Mrákotín;Chrudim
00253618;Obec Mrákov;Domažlice
00240494;Obec Mratín;Praha - východ
47934701;Obec Mrlínek;Kroměříž
64990940;Obec Mrsklesy;Olomouc
00258130;Obec Mrtník;Plzeň - sever
00473723;Obec Mrzky;Kolín
00275930;Obec Mříčná;Semily
00244104;Obec Mšecké Žehrovice;Rakovník
00264083;Obec Mšené-lázně;Litoměřice
00509132;Obec Mukařov;Mladá Boleslav
00240508;Obec Mukařov;Praha - východ
00244112;Obec Mutějovice;Rakovník
46687718;Obec Mutěnice;Strakonice
00285145;Obec Mutěnice;Hodonín
00572560;Obec Mutěnín;Domažlice
48770485;Obec Mutkov;Olomouc
00581780;Obec Mydlovary;České Budějovice
00288489;Obec Myslejovice;Prostějov
42634598;Obec Mysletice;Jihlava
00476455;Obec Mysletín;Pelhřimov
00286281;Obec Mysliboř;Jihlava
00289949;Obec Myslibořice;Třebíč
00583979;Obec Myslín;Písek
00573019;Obec Myslinka;Plzeň - sever
00255840;Obec Myslív;Klatovy
00667048;Obec Myslkovice;Tábor
00284211;Obec Mysločovice;Zlín
00573442;Obec Myslovice;Klatovy
00269166;Obec Myštěves;Hradec Králové
00251542;Obec Myštice;Strakonice
00269174;Obec Mžany;Hradec Králové
00270563;Obec Nabočany;Chrudim
00270571;Obec Načešice;Chrudim
00249891;Obec Nadějkov;Tábor
00373842;Obec Nadějov;Jihlava
00572926;Obec Nadryby;Plzeň - sever
00272850;Obec Nahořany;Náchod
00636401;Obec Nahošovice;Přerov
00299251;Obec Náklo;Olomouc
00581798;Obec Nákří;České Budějovice
00378208;Obec Naloučany;Třebíč
00242772;Obec Nalžovice;Příbram
00378216;Obec Nárameč;Třebíč
00662895;Obec Narysov;Příbram
00854000;Obec Nasavrky;Ústí nad Orlicí
00667056;Obec Nasavrky;Tábor
00285153;Obec Násedlovice;Hodonín
00637459;Obec Našiměřice;Znojmo
00226220;Obec Návojná;Zlín
60781688;Obec Návsí;Frýdek - Místek
00250597;Obec Nebahovy;Prachatice
00254118;Obec Nebanice;Cheb
00574198;Obec Nebílovy;Plzeň - jih
00488097;Obec Nebovidy;Brno - venkov
00235571;Obec Nebovidy;Kolín
00667722;Obec Nebřehovice;Strakonice
00237086;Obec Nebužely;Mělník
00242799;Obec Nečín;Příbram
00258156;Obec Nečtiny;Plzeň - sever
00245224;Obec Nedabyle;České Budějovice
00291145;Obec Nedachlebice;Uherské Hradiště
00291153;Obec Nedakonice;Uherské Hradiště
00284246;Obec Nedašov;Zlín
00226211;Obec Nedašova Lhota;Zlín
00653357;Obec Neděliště;Hradec Králové
00662259;Obec Nedomice;Mělník
00242802;Obec Nedrahovice;Příbram
00277053;Obec Nedvězí;Svitavy
43313884;Obec Nehodiv;Klatovy
00242829;Obec Nechvalice;Příbram
00488445;Obec Nechvalín;Hodonín
00579971;Obec Nejepín;Havlíčkův Brod
00258164;Obec Nekmíř;Plzeň - sever
00279269;Obec Nekoř;Ústí nad Orlicí
00256978;Obec Nekvasovy;Plzeň - jih
00237094;Obec Nelahozeves;Mělník
00365297;Obec Nelepeč-Žernůvka;Brno - venkov
00636410;Obec Nelešovice;Přerov
00253634;Obec Nemanice;Domažlice
00292109;Obec Němčany;Vyškov
00665169;Obec Němčice;Kolín
00667731;Obec Němčice;Strakonice
00841811;Obec Němčice;Blansko
00250554;Obec Němčice;Prachatice
00572489;Obec Němčice;Domažlice
00580589;Obec Němčice;Pardubice
00279277;Obec Němčice;Svitavy
00544604;Obec Němčice;Kroměříž
00238317;Obec Němčice;Mladá Boleslav
00637467;Obec Němčičky;Znojmo
00283401;Obec Němčičky;Břeclav
00488054;Obec Němčičky;Brno - venkov
00573922;Obec Němčovice;Rokycany
00667749;Obec Němětice;Strakonice
00635871;Obec Nemile;Šumperk
00373508;Obec Nemochovice;Vyškov
00292125;Obec Nemojany;Vyškov
00278165;Obec Nemojov;Trutnov
00292133;Obec Nemotice;Vyškov
00271870;Obec Nemyčeves;Jičín
