IČO;Název;Okres
00232238;Město Miličín;Benešov
00239453;Město Milovice;Nymburk
00260746;Město Mimoň;Česká Lípa
00293164;Město Miroslav;Znojmo
00258890;Město Mirošov;Rokycany
00249840;Město Mirotice;Písek
00249858;Město Mirovice;Písek
00252557;Město Mladá Vožice;Tábor
00240478;Město Mnichovice;Praha - východ
00238309;Město Mnichovo Hradiště;Mladá Boleslav
00242748;Město Mníšek pod Brdy;Praha - západ
00282103;Město Modřice;Brno - venkov
00303038;Město Mohelnice;Šumperk
00277037;Město Moravská Třebová;Svitavy
00289931;Město Moravské Budějovice;Třebíč
00296244;Město Moravský Beroun;Olomouc
00293199;Město Moravský Krumlov;Znojmo
00287504;Město Morkovice-Slížany;Kroměříž
00237078;Město Mšeno;Mělník
00258911;Město Mýto;Rokycany
00272868;Město Náchod;Náchod
00255866;Město Nalžovské Hory;Klatovy
00289965;Město Náměšť nad Oslavou;Třebíč
00284220;Město Napajedla;Zlín
00270580;Město Nasavrky;Chrudim
00269191;Město Nechanice;Hradec Králové
00254801;Město Nejdek;Karlovy Vary
00288497;Město Němčice nad Hanou;Prostějov
00256986;Město Nepomuk;Plzeň - jih
00237108;Město Neratovice;Mělník
00250601;Město Netolice;Prachatice
00232386;Město Neveklov;Benešov
00247138;Město Nová Bystřice;Jindřichův Hradec
00271888;Město Nová Paka;Jičín
00254819;Město Nová Role;Karlovy Vary
00247146;Město Nová Včelnice;Jindřichův Hradec
00245267;Město Nové Hrady;České Budějovice
00272876;Město Nové Město nad Metují;Náchod
00294900;Město Nové Město na Moravě;Žďár nad Sázavou
00263036;Město Nové Město pod Smrkem;Liberec
00259527;Město Nové Sedlo;Sokolov
00244155;Město Nové Strašecí;Rakovník
00260771;Město Nový Bor;Česká Lípa
00269247;Město Nový Bydžov;Hradec Králové
00298212;Město Nový Jičín;Nový Jičín
00242888;Město Nový Knín;Příbram
00239500;Město Nymburk;Nymburk
00255921;Město Nýrsko;Klatovy
00258199;Město Nýřany;Plzeň - sever
00240559;Město Odolena Voda;Praha - východ
00298221;Město Odry;Nový Jičín
00280755;Město Olešnice;Blansko
00259535;Město Oloví;Sokolov
00275191;Město Opočno;Rychnov nad Kněžnou
00297577;Město Orlová;Karviná
00263061;Město Osečná;Liberec
00266558;Město Osek;Teplice
00282286;Město Oslavany;Brno - venkov
00254843;Město Ostrov;Karlovy Vary
00284301;Město Otrokovice;Zlín
00248789;Město Pacov;Pelhřimov
00297062;Město Paskov;Frýdek - Místek
00278181;Město Pec pod Sněžkou;Trutnov
00239607;Město Pečky;Kolín
00248801;Město Pelhřimov;Pelhřimov
00297593;Město Petřvald;Karviná
00278190;Město Pilníkov;Trutnov
00249998;Město Písek;Písek
00260096;Město Planá;Tachov
00252654;Město Planá nad Lužnicí;Tábor
00255980;Město Plánice;Klatovy
00258245;Město Plasy;Plzeň - sever
00254169;Město Plesná;Cheb
00288632;Město Plumlov;Prostějov
00253669;Město Poběžovice;Domažlice
00248843;Město Počátky;Pelhřimov
00265365;Město Podbořany;Louny
00239640;Město Poděbrady;Nymburk
00283495;Město Podivín;Břeclav
00283509;Město Pohořelice;Brno - venkov
00272949;Město Police nad Metují;Náchod
00277177;Město Polička;Svitavy
00286435;Město Polná;Jihlava
00265403;Město Postoloprty;Louny
00301795;Město Potštát;Přerov
00250627;Město Prachatice;Prachatice
00270741;Město Proseč;Chrudim
00250023;Město Protivín;Písek
00259543;Město Přebuz;Sokolov
00274101;Město Přelouč;Pardubice
00257125;Město Přeštice;Plzeň - jih
00298328;Město Příbor;Nový Jičín
00243132;Město Příbram;Příbram
00268097;Město Přibyslav;Havlíčkův Brod
00260118;Město Přimda;Tachov
00240664;Město Pyšely;Benešov
00256030;Město Rabí;Klatovy
00259021;Město Radnice;Rokycany
00280836;Město Rájec - Jestřebí;Blansko
00282456;Město Rajhrad;Brno - venkov
00244309;Město Rakovník;Rakovník
00831514;Město Ralsko;Česká Lípa
00263141;Město Raspenava;Liberec
00256048;Město Rejštejn;Klatovy
00259047;Město Rokycany;Rokycany
00276057;Město Rokytnice nad Jizerou;Semily
00275301;Město Rokytnice v Orlických horách;Rychnov nad Kněžnou
00270822;Město Ronov nad Doubravou;Chrudim
00282481;Město Rosice;Brno - venkov
00259551;Město Rotava;Sokolov
00264334;Město Roudnice nad Labem;Litoměřice
00292281;Město Rousínov;Vyškov
00276073;Město Rovensko pod Troskami;Semily
00241610;Město Roztoky;Praha - západ
00239712;Město Rožďalovice;Nymburk
00246115;Město Rožmberk nad Vltavou;Český Krumlov
00243221;Město Rožmitál pod Třemšínem;Příbram
00304271;Město Rožnov pod Radhoštěm;Vsetín
00278238;Město Rtyně v Podkrkonoší;Trutnov
00233773;Město Rudná;Praha - západ
00245381;Město Rudolfov;České Budějovice
00261602;Město Rumburk;Děčín
00275336;Město Rychnov nad Kněžnou;Rychnov nad Kněžnou
00262552;Město Rychnov u Jablonce nad Nisou;Jablonec nad Nisou
00297615;Město Rychvald;Karviná
00296317;Město Rýmařov;Bruntál
00241636;Město Řevnice;Praha - západ
00240702;Město Říčany;Praha - východ
00239721;Město Sadská;Nymburk
00236411;Město Sázava;Benešov
00270881;Město Seč;Chrudim
00243272;Město Sedlčany;Příbram
00232645;Město Sedlec-Prčice;Příbram
00251755;Město Sedlice;Strakonice
00276111;Město Semily;Semily
00274241;Město Sezemice;Pardubice
00252859;Město Sezimovo Ústí;Tábor
00254231;Město Skalná;Cheb
00270903;Město Skuteč;Chrudim
00234877;Město Slaný;Kladno
00270920;Město Slatiňany;Chrudim
00284459;Město Slavičín;Zlín
00292311;Město Slavkov u Brna;Vyškov
00247456;Město Slavonice;Jindřichův Hradec
00284475;Město Slušovice;Zlín
00234893;Město Smečno;Kladno
00269557;Město Smiřice;Hradec Králové
00262579;Město Smržovka;Jablonec nad Nisou
00252921;Město Soběslav;Tábor
00272124;Město Sobotka;Jičín
00259586;Město Sokolov;Sokolov
00275417;Město Solnice;Rychnov nad Kněžnou
00257249;Město Spálené Poříčí;Plzeň - jih
00253766;Město Staňkov;Domažlice
00567884;Město Staré Město;Uherské Hradiště
00303364;Město Staré Město;Šumperk
00273066;Město Stárkov;Náchod
00257257;Město Starý Plzenec;Plzeň - město
00257265;Město Stod;Plzeň - jih
00234923;Město Stochov;Kladno
00251810;Město Strakonice;Strakonice
00247502;Město Stráž nad Nežárkou;Jindřichův Hradec
00285315;Město Strážnice;Hodonín
00256102;Město Strážov;Klatovy
00260967;Město Stráž pod Ralskem;Česká Lípa
00247511;Město Strmilov;Jindřichův Hradec
00260177;Město Stříbro;Tachov
00298441;Město Studénka;Nový Jičín
00247561;Město Suchdol nad Lužnicí;Jindřichův Hradec
00256129;Město Sušice;Klatovy
00268321;Město Světlá nad Sázavou;Havlíčkův Brod
00277444;Město Svitavy;Svitavy
00278335;Město Svoboda nad Úpou;Trutnov
00295531;Město Svratka;Žďár nad Sázavou
00297291;Město Šenov;Ostrava - město
00282651;Město Šlapanice;Brno - venkov
00261688;Město Šluknov;Děčín
00278343;Město Špindlerův Mlýn;Trutnov
00299511;Město Štěpánov;Olomouc
00299529;Město Šternberk;Olomouc
00264466;Město Štětí;Litoměřice
00303453;Město Štíty;Šumperk
00298468;Město Štramberk;Nový Jičín
00303461;Město Šumperk;Šumperk
00256153;Město Švihov;Klatovy
00253014;Město Tábor;Tábor
00260231;Město Tachov;Tachov
